V1 V2
272.305 246.081077067821
331.485 1043.71755158017
272.385 224.95126546025
132.275 25.5101813925642
448.57 639.773821797458
206.455 212.543772179857
681.915 513.395503948324
1227.39 779.35474423024
1040.7 540.740072792451
407.825 125.176644059916
382.015 493.471469161178
545.84 219.906648810139
523.315 457.515421975214
341.7 765.394903546713
644.61 265.234096627959
284.885 186.364349703587
173.5 511.529236533456
392.38 482.761895913892
274.395 325.482270199362
521.61 669.443143308054
373.965 290.688438042279
132.48 49.3187844110408
127.63 644.576503525567
218.375 204.748678038688
259.57 46.5095541338125
1007.4 511.864998384339
261.58 135.264922700541
16.17 400.416193267523
1284.9 474.478207794182
379.395 283.086701189365
345.82 231.451546919236
426.905 325.206881080778
400.02 165.255355268802
484.275 391.746696975299
228.165 164.228900553256
173.66 211.325426391015
530.59 534.947617108831
151.265 112.885540500152
425.55 820.2436556555
137.485 111.289410226463
1308.39 688.981728217039
834.625 502.274777927124
1434.13 1314.54447367025
1026.18 489.501780476038
288.425 545.792137118008
260.455 191.763411810595
100.43 460.120959253749
327.035 311.263372593708
360.445 531.905525260227
180.125 157.073008377615
187.765 202.754419281585
198.25 24.2321083063181
251.995 87.1097054036096
192.255 94.1527433162521
743.585 397.479310335172
835.725 449.945357946054
307.24 157.055497110787
187.875 35.5530968076213
365.8 264.965452151505
283.725 61.1584985322903
571.4 502.803882677609
134.21 113.09740473861
399.255 331.648288338318
550.21 668.279036305749
702.615 492.368035364346
148.625 7.43519793625943
121.545 -81.602844395422
200.995 30.4130368260165
287.55 232.131206724554
69.305 39.5370057049328
116.555 107.01462240517
484.055 515.158144362022
251.39 358.308490086707
185.65 197.892582469933
152.945 -45.3051740080241
439.84 426.692532900903
123.49 105.8018240287
90.415 71.8995208581881
537.17 573.615706060512
808.17 529.567127496019
67.305 24.9286408721448
194.54 53.8498334253319
321.645 54.8657779210069
288.53 110.251039931174
111.575 8.10910145080486
108.115 52.3999852905727
576.815 401.720077247147
536.23 350.267135784214
233.04 155.110021783938
207.27 95.6196164886645
479.92 408.241831814569
402.83 522.686704569691
243.04 127.099499110571
500.29 855.2301165722
392.8 506.665785074904
215.27 656.948710825261
394.48 306.241750486981
274.67 546.734004881412
352.43 232.517007558108
125.795 488.479540951396
460.935 433.698875526883
397.28 902.772360341368
167.595 286.795001308367
227.755 416.969775313475
108.23 126.129181221106
209.475 766.862484587876
247.185 29.7368712466923
1353.91 956.458916260953
126.16 231.975897493668
210.625 259.791126699644
315.58 319.032939775994
469.805 230.104311578607
1084.73 504.906769891198
999.6 609.760755321085
257.175 96.9241623667425
303.895 229.782327198073
97.085 3.1859018942232
134.98 15.7594211526926
243.385 223.917382380722
325.31 230.169835574596
392.645 311.342187217267
404.585 366.22921216642
258.28 181.263625537141
276.46 113.686355423023
363.26 259.815939771449
832.11 1077.74141057751
276.775 238.299666705607
172.745 200.382533118115
1540.77 835.086732819346
231.85 270.443079071948
94.04 81.7734368772503
28.74 541.669412443555
146.29 95.2997256661543
46.46 -90.0795965574607
568.46 727.786047160628
75.655 75.6941958690212
76.275 194.92368337826
1403.61 984.102180970904
166.66 153.032686401821
174.665 141.159688983384
643.91 565.747516199884
137.825 117.060881513625
287.34 188.826119372601
602.34 617.665738074935
342.09 251.980654778264
303.635 202.673267035621
944.715 827.955880069352
296.625 274.065487112116
241.85 151.1219804183
34.05 173.986477038778
217.495 164.160177587259
184.145 177.641247671229
461.175 301.922827335875
252.05 69.1282953122783
606.93 197.417761403662
214.83 109.305779431879
950.16 321.166620962488
25.4 78.0978035438331
289.27 427.42937040494
50.99 279.950214763617
1073.54 524.568436375895
151.975 131.810983371205
1970.32 970.390754088256
169.64 111.179385816399
157.035 571.537440593627
67.365 24.0938083364413
203.625 655.505144858284
199.655 168.714243334148
1080.22 694.996669041433
139.835 62.4875361573402
1465.83 692.379551056349
124.82 22.5414040717226
205.51 566.542826763128
184.48 146.956717475943
94.34 191.376994619351
190.665 33.600188044605
275.44 96.428678245232
122.52 51.3874921528874
75.7 59.3335575147337
212.175 84.5994192934551
202.605 -3.84167731126181
152.595 69.6063323707861
60.04 9.71924019713354
225.165 67.9721351855459
51.49 10.3643608838804
54.55 -21.579750468642
37.955 33.0961385764399
128.09 275.277480101998
237.76 283.661755635988
118.745 -5.84466049288796
132.17 -92.68449062328
202.945 278.221141748428
297.49 127.315158222896
67.585 56.7605893481506
388.035 380.082973807927
83.275 11.9139767806332
29.61 -1.05732753287548
122.94 37.3911992990197
131.01 -123.478030002198
212.825 106.819059580675
85.275 -28.5036572114307
17.205 29.5507112130774
170.96 186.973671721732
247.29 223.624259509713
101.87 -20.1056813923119
107.28 85.0339467100709
197.385 292.231192027649
223.1 366.051145827702
102.985 97.5461828734056
82.415 95.9489009615368
102.395 62.9091398210268
89.525 -91.1430703796386
108.24 8.77008149476199
100.64 9.2098852223216
179.545 127.601354035292
209.68 236.195823501048
423.995 315.39796567494
2240.08 1045.1363617206
79.7 179.768640928866
26.76 -135.357662217841
68.615 -22.9178221950269
1140.97 732.102833479193
143.92 147.480285678487
657.425 529.755092514337
245.32 249.80074225753
1751.7 826.090748348705
319.3 228.990885720488
140.2 466.903093788367
401.29 333.168002875939
1989.67 752.952448216122
86.36 -210.199063168911
347.855 414.915185616328
47.265 -53.5474801836659
50.365 134.541812009091
198.13 163.307004803699
205.13 229.733135920777
361.225 228.157604549606
260.895 361.850536595754
169.505 56.3099876630589
200.045 180.992154851751
53.655 -36.8132011774047
103.67 -10.9413568146775
315.935 298.330344146638
569.62 194.189046288772
83.815 57.8665765116094
79.165 74.3430238154354
116.28 14.6737297244459
128.925 20.5487949479338
101.005 0.543764871922127
633.49 756.643968930787
125.98 269.970276838966
157.4 178.601498229464
74.345 542.801631537289
195.38 220.273647721122
357.64 474.7166160238
52.19 135.561806200074
635.575 604.883786339755
49.585 181.184049328943
345.545 389.893341272369
133.895 109.046820813026
74.73 -112.876182843218
34.425 406.370673769499
37.055 -31.2636378098761
94.255 182.476250423775
263.915 610.02275192332
195.39 282.931916637962
168.375 116.914023360868
1296 912.204468498167
216.525 398.975416042803
85.075 263.87737770033
196.76 235.210666036485
176.98 196.026784175651
325.25 223.069600092809
128.06 173.627497383779
77.68 157.97816147266
91.065 130.038788104035
96.33 46.4085185036756
126.76 133.62896685015
455.115 576.694152909882
119.57 90.0790417824125
181.985 112.580177705069
144.715 270.756598890391
86.775 -81.4245065122951
319.005 841.929983930601
1023.29 772.134938396559
356.92 822.456642055031
26.12 3.5371212218093
451.435 315.080769614311
93.23 544.906888811448
662.12 630.516726493241
122.135 37.163528215051
215.45 649.429917772479
423.225 567.4711190612
161.425 276.881289545169
53.805 264.995184560457
127.86 204.296581242671
648.78 576.717647175694
42.76 500.445650816177
131.27 110.849218705815
379.63 684.417456037843
388.94 371.407930996424
340.035 352.535500853009
585.635 590.437621337314
142.305 370.981491952069
122.56 204.511354062333
103.29 175.671321121561
134.455 209.340267211634
233.74 401.404176344458
59.96 38.7820895544547
772.54 772.004193892479
58.21 177.768656135586
179.705 228.487541219476
71.78 45.7847654328437
717.445 601.182220192985
263 336.876635156577
495 289.655454662947
318.2 658.877567848941
517.025 537.716241703703
89.655 80.1385439016595
480.505 512.326348374869
84.37 103.806761229186
201.565 249.627169608027
94.955 188.458396600387
114.36 219.55277515314
85.545 74.3130345706267
79.635 77.7261971319093
110.33 166.894878655679
103.155 116.11582170908
326.46 578.436881711408
356.175 612.21081327524
249.185 206.124612924138
290.965 212.962677037869
88.04 162.704574853956
82.38 153.77759666865
340.78 468.491111167077
250.085 522.153648150569
186.01 234.965246524548
179.36 394.3238162733
103.05 122.125960200842
109.825 128.13134350191
7.3 97.2700312059704
28.95 182.528361273657
210.34 369.070793308989
79.05 523.98198517817
50.2 -27.1075160341027
716.795 724.056275371433
70.99 -0.0613320998039049
872.355 784.537753434593
275 248.485613855646
75.415 30.880893202436
69.665 506.570657234445
141.61 321.331307610872
63.135 58.7736039214944
111.67 354.165822899557
65.1 379.2913425258
183.02 203.816906730289
220.285 537.968259873765
266.35 448.420379924016
80.595 240.970276287846
106.915 319.570670981557
215.48 436.306152656437
69.135 170.61130349093
65.145 116.940545237028
456.965 505.259430072908
392.85 522.131492904932
101.675 309.388427520727
139.3 368.437663019474
108.29 297.200046423476
198.36 312.39748742841
124.025 338.434938405271
183.41 426.055794186991
222.005 408.345959449271
130.435 271.091586034172
186.545 358.192584716035
10.415 -43.6962393678082
26.785 98.257396407422
6.945 -47.2084499864313
84.245 61.5031550297838
1676.71 568.928438474939
58.745 227.069752792748
82.36 273.875813963623
141.07 404.640945010743
137.48 254.647823390153
40.37 99.8746174642631
451.65 330.097524004849
91.45 74.9394455554523
0 -31.550075618799
118.29 461.071350646404
0 -127.671853014319
141.615 278.133064082659
1453.27 762.972594339835
164.51 385.33580904863
5.835 -87.0611463772371
54.5 311.019018670735
27.26 105.395654991897
24.875 -116.510825266141
398.225 317.001468138255
33.225 -6.6287203556355
26.695 -0.327702619364231
34.23 241.21657463808
26.335 32.9629951513593
76.14 113.100118257405
47.415 118.524238685699
102.83 238.270763559142
38.345 88.7264087074214
102.23 185.664978807312
44.095 38.3186217552267
39.395 69.1627839471192
49.615 40.7673990912434
1686.44 1062.85678073039
218 334.828764442887
144.23 103.625612504941
53.67 475.539265361767
71.915 139.589958977819
817.44 624.014854661903
118.84 283.363183061745
65.61 -29.6525724596137
915.095 801.286296463456
719.105 640.573534040616
89.065 434.079349049403
223.3 589.310794776888
280.525 414.924444642109
64.06 113.328597962091
105.585 52.4415953335334
53.84 194.570520898444
35.7 158.257836927663
31.24 -69.2989414384044
28.365 142.076595091403
113.28 258.343410074801
47.755 82.0712878840974
80.03 292.022310427012
56.05 157.644364176597
258.665 408.093433296536
34.145 124.379826173741
19.98 222.124882281736
860.33 784.293242715806
31.025 60.682169118041
214.82 322.951987944567
20.455 61.9009893644741
49.17 222.461167832981
15.525 -121.17372136722
35.03 88.9139538098497
37.47 276.221241686068
1189.3 934.051729838459
14.615 -114.923034448356
109.915 244.132361622213
26.65 -19.4431604244204
156.215 279.801140149297
51.84 69.8793583949129
180.045 434.733514859428
48.91 56.0005702279091
31.5 70.2016435589662
160.335 293.14092016891
152.85 329.22037819713
17.325 244.980057558311
32.41 267.595341743551
20.18 -5.19828779059591
27.825 124.954215713584
38.69 37.2416454995285
29.055 -13.8809676628291
67.26 233.558389216784
13.425 312.254182718659
39.42 259.467299222034
314.325 388.686095690407
146.38 402.631502554574
107.31 269.847330228252
19.43 -80.7361603592061
431.08 512.446206857732
24.405 222.654729902443
715.105 554.217971618312
10.565 6.96188293400335
609.085 727.715811693142
38.595 299.724880822805
621.64 547.217001406206
7.72 46.7425927539552
612.065 786.651921420217
14.885 -179.338620254531
109.05 462.279305173959
23.11 -55.7266707301601
1234.6 790.259518378509
14.905 172.451762056461
449.39 372.540616850673
55.92 145.702060218317
34.785 91.6178279056651
82.375 270.128408006826
79.31 410.759101396366
28.89 158.152444885878
37.54 230.256956901702
52.915 156.596904730108
22.06 132.686105092062
28.9 46.4238883069119
11.325 -21.8576186582034
13.075 -71.447246092154
21.58 95.652257533406
26.17 132.930110422985
13.35 -147.628447134326
2.41 60.1725570579664
23.205 119.16435145718
46.91 223.804162061451
66.6 343.570509305603
