V1 V2
213.205 410.843528740233
998.39 1489.98114218933
241.75 546.501034760656
77.925 -63.678512753479
856.085 1372.66501099837
249.31 107.217798160183
743.505 567.20987908299
1989.21 1155.96230818709
1018.99 1022.26278547412
196.62 49.1090164221883
544.62 820.793907328976
477.29 327.49897715558
180.13 381.109948643973
734.82 1104.38390863022
694.455 467.204210223218
368.97 259.260108989438
530.75 977.198759936773
620.9 1004.36253486739
315.54 428.029649962801
753.345 1280.40055895141
461.23 652.101757900754
8.275 -67.2747502596318
1215.42 1345.63723617741
254.77 191.153696323708
356.205 330.534287290158
851.485 896.135782260736
238.93 141.681931048561
307.48 374.194349314933
1541.3 1182.80817598552
483.3 905.263290849025
809.25 481.032845131683
213.55 813.89196733038
200.26 253.961122531694
684.53 868.031756689008
252.59 204.588222425161
168.155 309.061755962118
462.435 1167.13671428026
56.315 329.535617091483
885.625 1309.25003858191
59.85 126.514773835668
1130.01 1071.78768579389
598.26 870.2850065682
1235.85 1363.32345328796
1052.78 669.123094701863
503.535 848.427453445214
333.605 324.959482597234
203.38 834.898180423977
566.26 688.285296425442
508.405 1141.64711669652
87.315 417.401150480264
432.48 201.106159855105
38.795 343.58879577271
541.2 514.097101735468
71.385 66.8501712506452
796.45 835.62622757736
966.075 889.381595167763
603.18 285.22131026626
0 239.17334243207
281.915 579.003233286073
489.44 338.423840339916
494.275 354.157027768554
62.215 86.0405928476413
146.675 299.14556744527
752.96 1047.64158099035
638.855 756.385265168086
137.47 39.5984689132308
252.53 -129.056356281011
355.09 411.306566974103
309.715 168.848938127403
75.075 -12.6048890037781
0 71.9656228116334
615.37 744.935676828419
372.745 538.464505958423
103.025 195.512534406497
32.61 3.73696257871279
649.83 1084.09652059657
0 6.28344876434683
0 -59.3891743456923
899.13 1105.70125547265
1150.96 1055.83530803288
40.535 93.1815761209973
311.4 253.0126149104
418.02 250.44932658908
119.38 165.502391782399
157.775 -78.9384909490578
0 4.87270364935152
1073 748.070812676597
620.135 742.016410147582
66.67 197.915128578098
0 231.187468923885
1019.61 1133.03036729068
583.205 1089.5911061324
153.5 300.099084611369
824.41 1783.35599110728
803.375 482.072286802028
490.84 518.071204348842
75.13 379.09211295876
412.01 1113.47156896789
668.9 357.364858902261
