V1 V2
4010.12 5362.92324280169
9026.91 12243.3258806348
5224.6 6589.43706025394
779.795 76.3355214437991
11763.3 10354.8215420194
2560.65 2875.30962399603
8933.42 6414.69064017055
16553.6 13062.5038758771
10491.2 8380.23937727003
3476.59 2456.3792855852
6186.25 6951.55996181834
6831.74 3654.97377079439
5503.3 5713.06435656263
8481.79 6941.21603302004
8493.14 7084.07996863281
3930.92 3458.60710554675
4971.38 6573.21889021794
6439.32 7083.64380266193
4146.18 4796.37072954247
10177.3 11800.78493989
5987.44 5818.86366059647
433.675 465.625398150399
9179.03 10696.1657045857
1435.5 3228.32163352456
1770.32 -473.957711371111
11111.1 9398.48833951168
929.615 -360.99763903184
7506.08 6889.54096550508
12953.5 9227.70576217349
2719.93 4904.87908656286
12093.4 5370.77012207794
3111.27 4885.34563142003
5478.23 3059.49332109705
7801.51 7319.16028954718
617.435 1850.80854643405
1101.81 2747.6642769061
8772.61 9536.77075023787
3039.27 3424.46262475369
11861.2 11085.2889626535
892.715 264.648762107349
14458.2 10928.0598465347
9146.96 7083.68979445922
10929.6 14034.755865207
9358.07 10268.5088810951
5717.86 7365.05753764667
3096.22 3526.23140026189
1606.83 4834.63954089828
4054.2 4270.90839620618
10626.2 9591.74540073202
2770.7 3697.96323650075
445.45 2817.31721794632
1286.67 3868.3046949617
2060.04 2366.33976422553
791.815 -107.711618331937
10746.4 7287.14293999402
11370.1 9729.06659956592
5623.1 3641.4556616602
821.475 1368.87869375103
3742.92 4218.81360109714
5152.27 4013.59897299219
6889.27 7561.27794024162
413.055 506.386461815184
4625.45 4368.97584502971
8490.86 9292.17629287306
8000.11 6523.31422992862
2118.25 668.161083839078
1011.71 -615.971527401881
2334.76 1844.93991973618
4895.66 3824.82842522483
118.895 -824.637296765677
734.715 1050.04796975243
7618.92 7008.84796657542
3051.53 6578.67931717728
1762.11 2175.30723063807
387.895 -936.66180093797
7373.97 7021.19983204185
335.335 1108.37554315016
0 573.189012891293
8361.92 8975.66692015649
10459.8 9115.34327268286
0 1122.74670909292
1002.59 1341.98659739835
3330.11 2162.10087390965
2117.2 2084.21001365389
383.175 -1397.76021838248
30.365 -1309.4115605417
7370.75 7268.55057583751
8295.69 7606.40777944302
1323.64 2412.10967404691
861.155 1595.47306814104
7529.28 8271.88585797255
5808.35 8275.32467472637
2009.76 2850.9643739263
12080.7 12915.4566419591
6769.92 6813.23691638024
4045 7290.74980185489
4995.66 4945.073856015
4938.52 7757.85109542314
5323.22 4030.54040891534
4370.11 6679.99292819645
6247.96 6867.75813968284
3857.11 7537.01776245604
2605.83 4657.5891152428
2611.11 4906.94110769507
684.115 2078.47353397553
8700.11 13322.2005667778
1591.7 1342.59492347398
14486.6 11442.1822963978
2454.78 3375.26995086223
1331.38 4119.15686798014
4128.62 5577.75602909689
5283.22 5935.08040212845
10172.8 10182.5520321329
9983.09 10121.0089733221
2634.41 4348.24404808448
3526.36 5316.89822402027
845.305 -332.492515883591
205.73 258.686285155492
3927.76 4059.97598424199
3125.31 4195.48772706709
4746.24 4910.69124920215
3152.2 5428.02034161786
3698.96 4991.0312228682
3645.31 5438.85488129831
5909.54 5585.19258014979
11477.5 14517.9470164918
5916.75 6527.30796000021
3139.76 3957.95702621797
14586.8 12501.6521815529
4848.59 6448.24749953995
562.225 1143.65931566858
1501.65 7175.56027515958
1982.74 2024.59918213768
0 -1483.99709150755
17579.8 12156.021007276
502.575 814.402802198005
631.38 1960.4832039166
15485.9 13145.1183702526
2359.73 3928.74849354613
3009.93 2317.71394219892
11165.7 9919.11501082109
4191.13 3672.46460225996
5413.4 4596.37012318273
14224.9 12892.0688364047
9295.35 5181.22555143688
6673.8 4118.63043112709
15559.9 12228.1667892155
7577.18 6484.62744799672
2642.55 3761.66751456925
1387.97 2468.76127682983
1866.9 3420.49750237969
1379.59 2188.73959050793
10656.7 7613.7234911286
2306.45 1796.07977648559
10967.1 5879.03013194386
2481.17 2226.22879688341
16464.4 8283.92439214982
534 2384.15485184012
4227.54 5548.00987883251
1216.14 5779.66189588207
13866.4 10920.0741523033
3155.52 3294.2060143528
15924.6 10976.7922622231
2131.16 3348.54296173285
3487.03 12017.1215142484
714.78 624.697811546378
4107.01 5978.7392478686
2303.42 5082.72407304432
13668.7 12302.2394956278
1450.93 518.675296579866
11558.4 8859.48817786742
2182.35 1008.9192168466
7642.41 11652.7117398238
3311.03 3505.17273962266
804.43 5718.90316235993
3376.84 3824.65353317746
2177.95 2860.51915406775
580.345 3268.41903320497
0 1424.96450743693
3665.88 4504.26051933256
1122.77 791.69876044867
276.805 -1156.03298309164
251.495 1306.22611380639
6107.51 3982.46723089212
294.325 1250.28904287046
0 -2486.98197010257
0 -1243.84988418172
4186.44 5559.78376009926
5360.44 4690.80273923743
1991.33 567.522776052315
757.335 -200.782029772938
5641.1 7561.01716581815
4846.25 3510.63172641015
1162.16 1761.81170936117
6068.5 7550.26688610889
1205.7 260.440672776782
0 433.839710115965
361.22 -1621.47367730819
0 -2944.56617800782
4472.86 3915.3386997953
0 -2518.8412627974
0 -2312.69463364285
4125.34 5499.89650554581
7061.24 5981.82091746258
3308.71 1153.4327193359
892.96 1889.05720065924
3381.72 8089.76581963268
2644.23 8958.97549880875
574.57 1672.47278139231
112.42 1492.43848459367
1087.45 1077.12801981493
146.695 517.17655756559
68.395 -1512.44086891354
234.87 -1753.93666450958
5731.53 4403.07124238943
6011.2 5536.33988556315
7848.79 6482.91789191392
16291.3 13760.4136885974
424.015 1827.76759668805
116.105 -929.559572858543
70.005 17.8376090157326
16780 14575.4552258073
1155.29 2587.63079414339
11545.5 9902.68573823949
5391.13 5233.78211826813
16042.5 11410.8553143599
4087.56 4859.1337230853
7124.55 6954.63991039395
5629.53 6798.81725069147
16992.9 13467.4953733013
0 -3675.09454407872
2824.62 4480.26369286824
317.925 -2105.31644694036
0 -1202.86830456592
1736.02 2524.89432237444
3678.07 3303.82240755292
9785.87 6337.65775558723
7833.22 7070.19625529624
3820.69 4497.61494557373
3203.43 6168.09853216726
697.495 -38.5884555815609
308.22 470.180211674112
7776.69 7651.28734909696
12378.4 6989.7931175936
584.54 -419.397149716387
39.645 -780.542649993405
321.615 828.437764055496
342.27 268.039999365042
1585.68 651.123373606091
7545.38 8574.07515332397
2181.88 3070.70394728839
3138.9 4401.33219197515
4494.16 8109.80160733296
4328.58 5621.19123720209
6999.1 6359.29627573492
1054.15 1178.7598030082
11890 9530.48865254522
1778.47 2914.61018287962
6142.12 6416.75503288174
4579.36 3308.96777602939
188.84 -1933.19231070333
2283.99 4937.57910202246
123.855 -699.368751728125
1410.59 2151.81643936024
11326.4 10248.8197829409
3518.24 4309.81437683637
2828.11 2307.13502561239
13486.5 10399.6430242359
5262.69 4617.58614391826
1065.94 3678.77224187355
