V1 V2
213.205 283.876164039042
998.39 1297.115508931
241.75 444.720562602533
77.925 -162.019349398592
856.085 997.112744940329
249.31 66.6027525270807
743.505 854.253018776799
1989.21 1209.05154299749
1018.99 1029.43287546533
196.62 56.8179283553817
544.62 678.219332951051
477.29 272.631807852825
180.13 352.563822237715
734.82 838.985074698533
694.455 568.103532965829
368.97 546.069681755885
530.75 767.294384498355
620.9 702.739355404184
315.54 412.542446545034
753.345 1038.92496329439
461.23 631.130462853877
8.275 -55.5295996553414
1215.42 997.282705900034
254.77 124.848959831991
356.205 188.364408048424
851.485 830.930742666836
238.93 69.2422130445726
307.48 471.694607755423
1541.3 1246.55842361553
483.3 707.853120356419
809.25 367.64031050836
213.55 571.708417782628
200.26 373.688847067836
684.53 672.996004259804
252.59 191.636809391582
168.155 421.66750297697
462.435 836.553679834763
56.315 182.450114723635
885.625 1039.77223085657
59.85 29.7283804859663
1130.01 1089.17383376322
598.26 630.990464407317
1235.85 1235.53808013704
1052.78 820.071002806583
503.535 671.105167223558
333.605 206.786769846893
203.38 638.995413469034
566.26 502.993833555602
508.405 865.569179240702
87.315 233.071708184766
432.48 450.654615983735
38.795 225.917917244333
541.2 228.380679487191
71.385 74.9856018071238
796.45 664.795844675978
966.075 869.790262671727
603.18 235.472325183293
0 144.580354435258
281.915 569.459181394821
489.44 260.537094848982
494.275 546.211368529933
62.215 47.9800627162642
146.675 223.857141020027
752.96 822.044380694621
638.855 980.309794284586
137.47 -48.5113618998868
252.53 -36.7774735587219
355.09 161.785621711269
309.715 102.086792315613
75.075 -56.8698676174241
0 156.89712726124
615.37 583.639047643223
372.745 371.712536039057
103.025 134.402474986585
32.61 37.2861091986914
649.83 766.926186506799
0 98.726725495407
0 -94.3173022097303
899.13 856.908149683327
1150.96 936.186191984271
40.535 -13.1901410776194
311.4 95.0582193650581
418.02 242.997893356453
119.38 206.692004684057
157.775 -17.4564544436357
0 -45.019946355991
1073 601.955708962714
620.135 721.391164360726
66.67 183.994157752231
0 -2.91124768943233
1019.61 764.881676410439
583.205 789.280605382114
153.5 281.104414235214
824.41 1375.26041701016
803.375 517.386904127223
490.84 553.266342348103
75.13 473.876594724746
412.01 899.138113449407
668.9 583.671260612422
400.365 810.419368269186
548.415 669.783072863265
595.265 963.705161405581
145.905 291.926790561008
217.145 474.791130561402
60.295 306.61458624415
1238.28 1187.42045079538
384.925 222.564340948017
1571.27 1333.8563698778
0 352.542349530604
178.365 182.776304344308
285.96 380.805033351751
296.675 461.492185798365
1004.73 958.345009606271
901.745 954.441204248601
292.795 273.879929774989
208.605 412.454237667418
97.205 -119.478954622085
22.075 14.8668980444869
424.885 222.378919005732
124.985 262.072386830882
408.375 428.44714582207
304.985 334.228574659836
299.575 346.164679351879
257.085 277.343634959892
356.28 357.224549002671
1325.51 1393.03852694671
346.54 522.544415477799
155.89 190.376591596652
1745.36 1236.01493114078
183.345 392.112011389209
93.075 133.603668893062
105.175 791.028950156598
135.04 351.41306024298
0 -218.368634459983
1625.23 1160.0469941599
52.36 -4.61539311270019
174.99 153.558487332994
1796.53 1472.60281270283
212.73 331.189752844186
94.245 21.6072328010917
746.125 857.947267468161
243.82 225.624750410315
262.465 532.74861608261
1628.78 1112.7741199338
541.655 713.585456993412
310.355 237.273477042681
2317.37 1250.76779861884
355.28 442.041905594328
394.86 372.520335538581
0 148.780895549873
105.18 468.517633779992
52.795 224.024478836856
555.75 751.465676551219
211.455 212.22986499635
744.23 456.432205189542
495.69 252.843804712383
870.99 748.669164618386
185.38 -46.9398315741119
480.325 595.101299382673
0 359.930381461983
1212.02 919.288103528224
279.255 262.764668751027
1975.7 1291.45525670891
214.54 165.225034008069
273.74 993.12429961919
0 -34.1634230170359
507.34 645.963065221093
157.835 320.040256499287
1217.64 1156.46625456908
130.51 -81.0709670362947
900.335 944.448592704541
153.71 9.28426327196425
1121.85 960.290310002999
197.735 318.18454152971
0 402.226667017362
61.145 316.252582260183
181.605 336.694557137408
184.035 216.04806510488
11.265 14.5035200309714
198.265 355.941536124155
205.905 -42.028180709239
0 -55.8725988951238
0 58.0506835947445
232.41 359.952608388912
5.73 -189.437702139276
0 -185.409893998928
0 9.01862779518774
62.455 357.74312895629
224.325 446.916109907747
12.71 46.8648370732833
147.55 52.8149881165085
496.455 438.291719360199
216.695 192.663239867499
49.79 69.2684070438776
271.44 496.089558646389
60.14 -106.128061406605
0 -232.971471299147
85.13 -120.739538142117
6.115 -143.054772713485
354.89 286.714712709926
0 -146.164102667723
0 -176.999097161374
42.61 401.586651606565
275.645 428.481565193306
137.095 85.1537137018147
22.235 212.208381675332
409.745 497.716327676523
177.66 606.469772872802
57.58 101.495643930203
26.45 226.384204323795
161 -70.9957872914212
0 12.0316672083664
138.8 -80.3012027037892
152.56 -94.7678523895584
434.285 331.067320500504
618.425 396.315389007329
684.15 462.683975243456
1900.55 1703.54522085416
0 -28.9402495385647
67.715 -87.8201982099989
0 159.036611418389
1927.68 1321.02156030155
67.725 76.520721847008
1091.52 881.457389495053
297.415 299.525833648099
1496.75 1291.24515805533
97.985 381.734653494673
715.965 566.065369257711
387.56 649.931025118461
2382.66 1371.38985752309
42.47 -141.981237499547
275.105 811.792859225101
0 -172.596082070223
0 -219.704059570912
124.745 81.9394857031496
266.925 107.486640354297
468.855 500.295726908831
578.11 584.184118361188
371.55 353.76505107121
234.41 472.566570867529
0 -23.1267863586933
0 102.620223764243
608.93 542.386402833709
1036.83 563.94950623256
71.5 -121.582897057081
0 -161.469887651327
134.13 67.8085796549949
0 35.8392773535356
117.72 -11.4019489823381
418.22 498.23110230642
108.025 301.639810733145
163.945 123.477320102842
781.38 742.497029515027
395.515 335.511153261846
569.825 671.468670280059
250.675 245.591856659651
1168.95 904.951323233669
128.295 102.536356724966
222.87 646.284704049348
284.03 225.087683009246
21.14 -293.881628147711
178.72 553.389227832057
0 -159.617984510428
36.23 -24.760020934545
996.085 1074.76585106099
203.36 198.513561704509
147.925 117.827562064052
1326.42 845.068723679499
320.645 391.367250687871
53.16 64.9699031213664
207.555 225.551685534475
329.33 304.072849134577
598.545 304.076445191622
156.36 331.370038374181
427.645 375.516803180157
310.275 265.889823296149
0 21.2658523648497
240.695 187.596740357867
744.86 727.000438832086
242.725 203.250833550667
430.25 317.579513816907
251.75 458.282744171917
125.325 -30.5274075394291
1549.02 1443.83013920146
1369.2 1123.19752896819
555.535 711.184431517758
42.385 73.468625647666
493.665 478.761918068562
454.805 994.887785830504
1974.29 1094.68373627339
234.585 369.795716245904
606.965 1091.3486616815
501.49 929.132147931022
257.565 301.358279091814
254.165 533.123170225881
89.5 369.99804029296
556.765 709.501388272952
98.245 675.2088850322
367.855 147.994312603954
803.82 742.265278541819
796.245 754.555725421613
375.355 540.385347397175
1333.69 1177.31622246225
310.53 676.527227589084
318.46 341.088823080711
398.505 321.624776774359
379.06 394.891130431698
735.025 669.896807685488
56.74 134.992079297488
1036.24 1415.87470432382
27.11 -13.6918805723274
447.545 459.659149597589
0 -51.3147534422812
884.265 786.77895986256
489.355 467.086597358324
927.145 632.587355196437
636.91 529.066154754396
714.1 977.290242124135
91.07 -11.0945831759586
1065.75 945.148307181311
242.01 238.62021287239
493.78 397.263701471656
209.97 32.5891739275822
311.825 526.246768743946
196.95 126.092070032235
177.65 168.540093695034
416.86 505.850665704769
275.105 363.847824509673
842.815 842.517096590994
876.83 824.296621658824
623.475 700.775756358887
541.35 773.248140326702
177.995 286.046800730791
413.84 311.594265273253
935.91 1000.25840014102
719.64 851.054307668811
535.84 440.111340994827
368.33 572.465350779692
508.43 561.646750567925
500.77 569.890148534197
0 -153.556151469342
59.455 8.73390847747989
397.605 674.141276533662
533.46 861.930584239603
0 -174.517400398459
694.605 908.933136334342
0 -6.94592723594809
803.51 1074.48708759738
957.51 647.055858786301
0 -108.658049317589
254.6 632.821546899189
371.195 425.915443116352
0 -58.0486396011574
361.1 489.121510173698
346.88 512.378574210358
176.005 415.010240088325
660.04 756.285442592592
944.675 779.494146488902
341.635 478.611150080345
426.02 556.001873737389
782.56 871.94808788384
242.46 101.890821151718
87.875 132.748052574018
1216.47 1061.20715813966
798.045 1171.22606162499
652.4 399.276061753187
159.28 560.293994425772
540.105 579.016498470212
692.88 614.277630411024
411.66 432.00758928994
789.36 735.44672135612
943.285 825.583349629044
825.78 648.846232228791
1024.97 665.731168818031
0 -141.158498565976
0 -183.132050437109
0 -211.194084925163
0 -170.92472378196
1659.37 1214.35937880644
0 65.221815452081
186.66 318.78623122854
447.865 529.147926635543
464.39 451.528351134116
104.56 199.910629159694
730.315 747.955776280028
199.59 337.3008750931
0 -213.654790036988
306.425 676.180633337161
20.805 -68.9141595517058
186.135 319.243051602837
1831.09 1313.67035232528
435.52 508.57165510796
0 -140.408355230984
0 332.526191619233
0 -158.025045366225
0 -168.774386783574
803.935 836.473367557878
190.625 31.7103264459192
121.755 32.3172519032129
0 433.141189902523
44.75 68.6554236937132
218.485 358.203184108411
0 342.283611373947
438.725 476.3455239467
0 228.784792101514
697.585 510.948120371816
240.74 -26.5063969245687
356.73 112.978600988898
120.16 183.935678809264
2917.91 1756.62779963552
169.35 657.267246712706
274.36 16.5101325637299
327.665 710.43889672041
0 226.502722371074
1019.92 1060.64777056519
408.68 674.101988826148
87.695 -3.2304557517937
1331.13 1424.69091238226
1490.13 995.092290997977
228.945 393.943416928193
177.76 946.897657394456
643.08 608.262327111738
29.715 92.5200628681921
12.085 -5.67030283337601
299.095 334.115160751632
0 75.3798407476878
16.11 75.7824744596506
0 273.159592124319
445.855 711.310409401388
140.895 171.95211552044
350.135 431.027402434351
522.72 399.111980521943
948.615 635.856363909141
0 28.6267106130036
0 154.064022250599
2023.16 1471.30381987243
0 73.7113602919849
953.17 617.760953395131
0 38.2334873148452
0 180.17810301424
0 -240.747904967727
119.1 402.709840289586
4.215 183.030114792117
2022.22 1585.5312153368
0 -308.439724727193
329.16 477.488736622963
0 -159.914251921274
571.92 484.748283659892
79.27 123.726897475298
1065.76 774.636729499409
1838.78 118.926281579857
115.13 261.361123519402
743.77 668.385205712016
589.64 757.934630586879
20.205 225.864675841557
31.235 180.917763150561
0 404.928507428386
94.72 456.766243095704
0 27.5023207404072
105.035 60.3909083063147
636.425 507.02912277947
