V1 V2
618.935 508.658884203157
279.835 -35.7661099184863
1147.63 649.211616688914
1407.39 735.546582545578
41.67 419.50445912763
1352.11 710.206063829459
526.24 800.017706695219
310.165 355.041872669631
561.255 202.846787830612
779.785 313.863680380517
329.405 315.857400852848
217.755 133.021092760253
336.555 444.06390962218
0 146.848090686264
430.855 780.147623456364
127.135 614.744001423359
0 -338.897605002409
35.43 790.712060941188
429.74 528.780340580365
147.305 269.374379920639
114.305 128.996338093693
805.3 714.987928843225
110.5 233.153447261372
108.7 306.561103833397
254.605 193.83840157727
201.565 137.786668460666
701.33 710.483906005655
0 -23.2972688502307
70.48 179.947111828848
0 -31.8385993683476
33.155 51.5705423777302
798.95 837.862147275249
359.675 220.497831080697
0 88.3962031475523
70.49 137.530546312299
108.855 214.712774828579
168.39 262.311593696836
152.05 226.946562987334
833.105 735.267308457629
234.015 203.934213033434
874.025 882.265640569687
164.535 155.286899324304
78.39 113.102222003291
439.08 492.476743321254
377.935 595.782566886553
0 29.2556515764459
0 -20.97631906139
0 49.5092575855335
89.55 189.790940816662
63.365 125.355631383399
227.185 83.174144912646
456.455 527.066093077559
24.765 26.2583190392698
33.4 203.519293149501
580.91 721.856338304736
856.735 303.412398379665
29.565 39.0157268695657
88.32 91.1663274676698
0 84.9385394729049
0 -28.9612242690587
54.945 69.9395211878542
482.4 613.06926780442
80.88 301.631899525911
257.675 164.910310757454
593.15 404.236846188037
200.525 309.929125137237
116.205 106.36513911221
152.395 111.88661189618
736.85 598.487578726298
193.595 370.184935925118
255.905 881.036655090464
710.645 334.350048304704
104.035 172.631828318229
324.995 517.872584389326
268.98 466.73036931492
244.31 10.9009344989647
279.205 736.411123014318
804.31 912.032067435845
161.145 195.506232489839
160.32 717.03993279414
0 77.8874975414614
242.25 238.964221147938
420.445 441.166647716544
0 1.23509957240873
69.56 152.337557979401
128.675 105.231644783428
457.235 381.311440226024
233.27 587.680479318396
306.275 352.51342994335
955.385 655.708635130067
132.845 136.142154339993
0 -12.7309742157222
149.4 19.0964291704706
436.6 550.877018788615
121.535 176.666243418861
75.26 409.537570029657
595.3 916.972250378048
134.15 -39.020031621065
313.285 440.336257873327
346.115 562.91752536122
267.185 245.409787581566
0 -47.7627427053489
158.35 227.972685614182
0 -1.05541222866158
0 74.8127058508262
83.2 151.490629582321
0 -86.3710518696863
10.965 532.93833916016
907.475 1065.72707515245
0 -74.9635217225903
237.335 140.345494446915
644.875 671.609737196327
176.505 83.9699419708811
180 198.146999066531
441.42 786.123217134578
206.05 317.959415431934
336.08 171.04915079101
1053.16 895.956516060821
180.395 -14.077804199068
42.18 84.9411860084365
0 95.2303169155569
1551.18 1163.0135302984
464.945 516.820909139736
304.81 638.562731077633
313.965 710.069851983655
236.43 100.573950037502
596.49 785.953643972537
1197.79 590.952671965588
16.455 385.243304247024
689.165 754.261058191942
503.635 646.191250618391
324.23 289.433045250312
373.185 227.688404328153
186.2 145.200180481513
0 48.6209935385076
0 41.7574749629866
80.61 35.0385422136487
183.75 -93.9853193106054
89.375 356.985561919499
1069.03 580.881203263632
0 209.866632341199
1151.17 822.31153534132
500.355 691.562891636249
281.64 217.848102301163
156.76 157.339869834315
1048.36 639.694498212527
218.045 149.696958064787
309.79 318.005392617855
398.425 228.147993602451
